teamId,gameId,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
160,401540324,"""new-hampshire-wildcats""","""New Hampshire""","""Wildcats""","""New Hampshire""","""UNH""","""New Hampshire Wildcats""","""Wildcats""",004990,c3c4c6
162,401541075,"""hamline-pipers""","""Hamline""","""Pipers""","""Hamline""","""HAM""","""Hamline Pipers""","""Pipers""",98012e,ffffff
163,401540422,"""princeton-tigers""","""Princeton""","""Tigers""","""Princeton""","""PRIN""","""Princeton Tigers""","""Tigers""",ff9408,080808
164,401520260,"""rutgers-scarlet-knights""","""Rutgers""","""Scarlet Knights""","""Rutgers""","""RUTG""","""Rutgers Scarlet Knights""","""Scarlet Knights""",d21034,ffffff
166,401520253,"""new-mexico-state-aggies""","""New Mexico State""","""Aggies""","""New Mexico St""","""NMSU""","""New Mexico State Aggies""","""Aggies""",891216,000000
167,401526835,"""new-mexico-lobos""","""New Mexico""","""Lobos""","""New Mexico""","""UNM""","""New Mexico Lobos""","""Lobos""",000000,231f20
171,401540058,"""columbia-lions""","""Columbia""","""Lions""","""Columbia""","""COLU""","""Columbia Lions""","""Lions""",174785,004b85
172,401540307,"""cornell-big-red""","""Cornell""","""Big Red""","""Cornell""","""COR""","""Cornell Big Red""","""Big Red""",d60027,101010
173,401551512,"""hartwick-hawks""","""Hartwick""","""Hawks""","""Hartwick""","""HARW""","""Hartwick Hawks""","""Hawks""",000000,
174,401549581,"""hobart-statesmen""","""Hobart""","""Statesmen""","""Hobart""","""HBRT""","""Hobart Statesmen""","""Statesmen""",000000,
175,401549582,"""ithaca-bombers""","""Ithaca""","""Bombers""","""Ithaca""","""ITH""","""Ithaca Bombers""","""Bombers""",000000,
183,401520268,"""syracuse-orange""","""Syracuse""","""Orange""","""Syracuse""","""SYR""","""Syracuse Orange""","""Orange""",ff6500,000e54
184,401547207,"""university-of-rochester-ny-yellow-jackets""","""University of Rochester (NY)""","""Yellow Jackets""","""Rochester (NY)""","""ROC""","""University of Rochester (NY) Yellow Jackets""","""Yellow Jackets""",000000,
188,401550249,"""baldwin-wallace-yellow-jackets""","""Baldwin Wallace""","""Yellow Jackets""","""Baldwin Wallace""","""BALW""","""Baldwin Wallace Yellow Jackets""","""Yellow Jackets""",000000,
189,401532405,"""bowling-green-falcons""","""Bowling Green""","""Falcons""","""Bowling Green""","""BGSU""","""Bowling Green Falcons""","""Falcons""",2b1000,492000
190,401550069,"""defiance-yellow-jackets""","""Defiance""","""Yellow Jackets""","""Defiance""","""DEF""","""Defiance Yellow Jackets""","""Yellow Jackets""",4e2d8a,ded27c
191,401550277,"""heidelberg-student-princes""","""Heidelberg""","""Student Princes""","""Heidelberg""","""HEI""","""Heidelberg Student Princes""","""Student Princes""",000000,
193,401532408,"""miami-oh-redhawks""","""Miami (OH)""","""RedHawks""","""Miami OH""","""M-OH""","""Miami (OH) RedHawks""","""RedHawks""",a4000c,f0f0f0
194,401521330,"""ohio-state-buckeyes""","""Ohio State""","""Buckeyes""","""Ohio State""","""OSU""","""Ohio State Buckeyes""","""Buckeyes""",ce1141,505056
195,401532405,"""ohio-bobcats""","""Ohio""","""Bobcats""","""Ohio""","""OHIO""","""Ohio Bobcats""","""Bobcats""",295A29,e4bb85
196,401541961,"""northeastern-state-river-hawks""","""Northeastern State""","""River Hawks""","""Northeastern St""","""NEOS""","""Northeastern State River Hawks""","""River Hawks""",000000,
197,401525846,"""oklahoma-state-cowboys""","""Oklahoma State""","""Cowboys""","""Oklahoma St""","""OKST""","""Oklahoma State Cowboys""","""Cowboys""",ff6500,000000
199,401541770,"""southeastern-oklahoma-state-savage-storm""","""Southeastern Oklahoma State""","""Savage Storm""","""SE Okla ST""","""SEOS""","""Southeastern Oklahoma State Savage Storm""","""Savage Storm""",000000,
200,401541794,"""southern-nazarene-crimson-storm""","""Southern Nazarene""","""Crimson Storm""","""So Nazarene""","""SN""","""Southern Nazarene Crimson Storm""","""Crimson Storm""",000000,
201,401525845,"""oklahoma-sooners""","""Oklahoma""","""Sooners""","""Oklahoma""","""OU""","""Oklahoma Sooners""","""Sooners""",a32036,ffffff
202,401531338,"""tulsa-golden-hurricane""","""Tulsa""","""Golden Hurricane""","""Tulsa""","""TLSA""","""Tulsa Golden Hurricane""","""Golden Hurricane""",003595,d0b787
203,401550464,"""linfield-wildcats""","""Linfield""","""Wildcats""","""Linfield""","""LIN""","""Linfield Wildcats""","""Wildcats""",46256a,d41e47
204,401524019,"""oregon-state-beavers""","""Oregon State""","""Beavers""","""Oregon St""","""ORST""","""Oregon State Beavers""","""Beavers""",231f20,d73f09
205,401568380,"""pacific-or-boxers""","""Pacific (OR)""","""Boxers""","""Pacific (OR)""","""PACO""","""Pacific (OR) Boxers""","""Boxers""",b4183a,ffffff
209,401541026,"""lock-haven-bald-eagles""","""Lock Haven""","""Bald Eagles""","""Lock Haven""","""LOCK""","""Lock Haven Bald Eagles""","""Bald Eagles""",000000,
210,401545886,"""millersville-marauders""","""Millersville""","""Marauders""","""Millersville""","""MLR""","""Millersville Marauders""","""Marauders""",000000,
213,401520265,"""penn-state-nittany-lions""","""Penn State""","""Nittany Lions""","""Penn State""","""PSU""","""Penn State Nittany Lions""","""Nittany Lions""",00265D,002e5c
215,401545968,"""slippery-rock-the-rock""","""Slippery Rock""","""The Rock""","""Slippery Rock""","""SLI""","""Slippery Rock The Rock""","""The Rock""",000000,
216,401549820,"""susquehanna-university-river-hawks""","""Susquehanna University""","""River Hawks""","""Susquehnna""","""SUS""","""Susquehanna University River Hawks""","""River Hawks""",6b1a31,fd6b0d
218,401525509,"""temple-owls""","""Temple""","""Owls""","""Temple""","""TEM""","""Temple Owls""","""Owls""",A80532,a7a9ac
219,401540048,"""pennsylvania-quakers""","""Pennsylvania""","""Quakers""","""Penn""","""PENN""","""Pennsylvania Quakers""","""Quakers""",082A74,a6163d
221,401525510,"""pittsburgh-panthers""","""Pittsburgh""","""Panthers""","""Pitt""","""PITT""","""Pittsburgh Panthers""","""Panthers""",003263,231f20
222,401540549,"""villanova-wildcats""","""Villanova""","""Wildcats""","""Villanova""","""VILL""","""Villanova Wildcats""","""Wildcats""",00205b,13b5ea
223,401545886,"""west-chester-golden-rams""","""West Chester""","""Golden Rams""","""West Chester""","""WES""","""West Chester Golden Rams""","""Golden Rams""",000000,
225,401540291,"""brown-bears""","""Brown""","""Bears""","""Brown""","""BRWN""","""Brown Bears""","""Bears""",411e09,949300
227,401540549,"""rhode-island-rams""","""Rhode Island""","""Rams""","""Rhode Island""","""URI""","""Rhode Island Rams""","""Rams""",091f3f,5ab3e8
228,401525507,"""clemson-tigers""","""Clemson""","""Tigers""","""Clemson""","""CLEM""","""Clemson Tigers""","""Tigers""",f56600,522d80
231,401540599,"""furman-paladins""","""Furman""","""Paladins""","""Furman""","""FUR""","""Furman Paladins""","""Paladins""",582c83,ffffff
233,401540384,"""south-dakota-coyotes""","""South Dakota""","""Coyotes""","""South Dakota""","""SDAK""","""South Dakota Coyotes""","""Coyotes""",CD1241,f0f0f0
235,401520259,"""memphis-tigers""","""Memphis""","""Tigers""","""Memphis""","""MEM""","""Memphis Tigers""","""Tigers""",004991,8e908f
236,401540583,"""chattanooga-mocs""","""Chattanooga""","""Mocs""","""Chattanooga""","""UTC""","""Chattanooga Mocs""","""Mocs""",00386b,dca71d
237,401549573,"""union-ny-dutchmen""","""Union (NY)""","""Dutchmen""","""Union (NY)""","""UNNY""","""Union (NY) Dutchmen""","""Dutchmen""",000000,
238,401520274,"""vanderbilt-commodores""","""Vanderbilt""","""Commodores""","""Vanderbilt""","""VAN""","""Vanderbilt Commodores""","""Commodores""",000000,231f20
