teamId,gameId,oddsExist,homeTeamId,awayTeamId,awayFavorite,homeFavorite,provider,favorite,underdog,spread,details,overUnder,awayMoneyLine,homeMoneyLine,awayspreadOdds,homespreadOdds,teamId2,gameId2,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
teamId_2636,401531398,True,2636,151,False,True,Caesars Sportsbook (New Jersey),2636,151,-18.5,UTSA -18.5,47.0,650,-1000,-110.0,-110.0,2636,401531398,utsa-roadrunners,UTSA,Roadrunners,UTSA,UTSA,UTSA Roadrunners,Roadrunners,002A5C,f47321
teamId_2638,401520348,True,2534,2638,False,True,Caesars Sportsbook (New Jersey),2534,2638,-4.0,SHSU -4.0,38.5,158,-190,-110.0,-110.0,2638,401520348,utep-miners,UTEP,Miners,UTEP,UTEP,UTEP Miners,Miners,ff8200,041e42
teamId_2639,401541050,False,,,,,NONE,,,,,,,,,,2639,401541050,texas-lutheran-bulldogs,Texas Lutheran,Bulldogs,Texas Lutheran,TXL,Texas Lutheran Bulldogs,Bulldogs,fdbe10,000000
teamId_2640,401540171,False,,,,,NONE,,,,,,,,,,2640,401540171,texas-southern-tigers,Texas Southern,Tigers,Texas Southern,TXSO,Texas Southern Tigers,Tigers,6A0403,ebebeb
teamId_2641,401525879,False,,,,,NONE,,,,,,,,,,2641,401525879,texas-tech-red-raiders,Texas Tech,Red Raiders,Texas Tech,TTU,Texas Tech Red Raiders,Red Raiders,000000,da291c
teamId_2643,401540620,False,,,,,NONE,,,,,,,,,,2643,401540620,the-citadel-bulldogs,The Citadel,Bulldogs,The Citadel,CIT,The Citadel Bulldogs,Bulldogs,002b5c,f0f0f0
teamId_2644,401544132,False,,,,,NONE,,,,,,,,,,2644,401544132,thiel-tomcats,Thiel,Tomcats,Thiel,THL,Thiel Tomcats,Tomcats,000000,
teamId_2646,401541808,False,,,,,NONE,,,,,,,,,,2646,401541808,thomas-more-college-saints,Thomas More College,Saints,Thmas More,THO,Thomas More College Saints,Saints,000000,
teamId_2649,401532434,False,,,,,NONE,,,,,,,,,,2649,401532434,toledo-rockets,Toledo,Rockets,Toledo,TOL,Toledo Rockets,Rockets,ffffff,ffd51d
teamId_2651,401550152,False,,,,,NONE,,,,,,,,,,2651,401550152,trine-university-thunder,Trine University,Thunder,Trine,TRI,Trine University Thunder,Thunder,000000,
teamId_2653,401531903,True,326,2653,True,False,Caesars Sportsbook (New Jersey),2653,326,7.0,TROY -7.0,53.0,-250,205,-110.0,-110.0,2653,401531903,troy-trojans,Troy,Trojans,Troy,TROY,Troy Trojans,Trojans,AE0210,88898c
teamId_2654,401540743,False,,,,,NONE,,,,,,,,,,2654,401540743,truman-state-bulldogs,Truman State,Bulldogs,Truman State,TRUM,Truman State Bulldogs,Bulldogs,000000,
teamId_2655,401531373,True,242,2655,True,False,Caesars Sportsbook (New Jersey),2655,242,10.0,TULN -10.0,55.0,-385,300,-110.0,-110.0,2655,401531373,tulane-green-wave,Tulane,Green Wave,Tulane,TULN,Tulane Green Wave,Green Wave,006547,468ac9
teamId_2657,401547059,False,,,,,NONE,,,,,,,,,,2657,401547059,tuskegee-golden-tigers,Tuskegee,Golden Tigers,Tuskegee,TUSK,Tuskegee Golden Tigers,Golden Tigers,000000,
teamId_2658,401541903,False,,,,,NONE,,,,,,,,,,2658,401541903,texas-am-kingsville-javelinas,Texas A&M-Kingsville,Javelinas,TX A&M-Kings,TXKI,Texas A&M-Kingsville Javelinas,Javelinas,000000,
teamId_2667,401552451,False,,,,,NONE,,,,,,,,,,2667,401552451,ursinus-bears,Ursinus,Bears,Ursinus,URS,Ursinus Bears,Bears,98012e,fcb034
teamId_2673,401541869,False,,,,,NONE,,,,,,,,,,2673,401541869,valdosta-state-blazers,Valdosta State,Blazers,Valdosta State,VAL,Valdosta State Blazers,Blazers,dd1a32,000000
teamId_2674,401540459,False,,,,,NONE,,,,,,,,,,2674,401540459,valparaiso-beacons,Valparaiso,Beacons,Valparaiso,VAL,Valparaiso Beacons,Beacons,794500,
teamId_2676,401540674,False,,,,,NONE,,,,,,,,,,2676,401540674,virginia-union-panthers,Virginia Union,Panthers,VA Union,VU,Virginia Union Panthers,Panthers,000000,
teamId_2678,401540588,False,,,,,NONE,,,,,,,,,,2678,401540588,vmi-keydets,VMI,Keydets,VMI,VMI,VMI Keydets,Keydets,E52D37,eec52b
teamId_2681,401540042,False,,,,,NONE,,,,,,,,,,2681,401540042,wagner-seahawks,Wagner,Seahawks,Wagner,WAG,Wagner Seahawks,Seahawks,00483A,ffffff
teamId_2682,401540977,False,,,,,NONE,,,,,,,,,,2682,401540977,walsh-cavaliers,Walsh,Cavaliers,Walsh,WAL,Walsh Cavaliers,Cavaliers,000000,
teamId_2685,401547097,False,,,,,NONE,,,,,,,,,,2685,401547097,wartburg-college-knights,Wartburg College,Knights,Wartburg,WAR,Wartburg College Knights,Knights,f5822b,000000
teamId_2686,401550385,False,,,,,NONE,,,,,,,,,,2686,401550385,washington-jefferson-presidents,Washington & Jefferson,Presidents,Wash & Jeff,WJC,Washington & Jefferson Presidents,Presidents,000000,
teamId_2687,401541987,False,,,,,NONE,,,,,,,,,,2687,401541987,washburn-ichabods,Washburn,Ichabods,Washburn,WASH,Washburn Ichabods,Ichabods,000000,
teamId_2688,401541117,False,,,,,NONE,,,,,,,,,,2688,401541117,washington-and-lee-generals,Washington and Lee,Generals,Wash and Lee,WLEE,Washington and Lee Generals,Generals,000399,d8d8d8
teamId_2692,401540256,False,,,,,NONE,,,,,,,,,,2692,401540256,weber-state-wildcats,Weber State,Wildcats,Weber St,WEB,Weber State Wildcats,Wildcats,18005a,ebebeb
teamId_2695,401541845,False,,,,,NONE,,,,,,,,,,2695,401541845,west-alabama-tigers,West Alabama,Tigers,W Alabama,WES,West Alabama Tigers,Tigers,d31d33,ffffff
teamId_2698,401541861,False,,,,,NONE,,,,,,,,,,2698,401541861,west-georgia-wolves,West Georgia,Wolves,W Georgia,WES,West Georgia Wolves,Wolves,0033a1,db1a21
teamId_2699,401545768,False,,,,,NONE,,,,,,,,,,2699,401545768,west-liberty-hilltoppers,West Liberty,Hilltoppers,West Liberty,WLIB,West Liberty Hilltoppers,Hilltoppers,000000,
teamId_2700,401552451,False,,,,,NONE,,,,,,,,,,2700,401552451,mcdaniel-college-green-terror,McDaniel College,Green Terror,McDaniel,MCD,McDaniel College Green Terror,Green Terror,00674d,f5cc2e
teamId_2702,401547211,False,,,,,NONE,,,,,,,,,,2702,401547211,western-new-england-golden-bears,Western New England,Golden Bears,Western NE,WNE,Western New England Golden Bears,Golden Bears,000000,
teamId_2703,401540987,False,,,,,NONE,,,,,,,,,,2703,401540987,western-new-mexico-mustangs,Western New Mexico,Mustangs,W New Mex,WES,Western New Mexico Mustangs,Mustangs,000000,
teamId_2704,401541896,False,,,,,NONE,,,,,,,,,,2704,401541896,west-texas-am-buffaloes,West Texas A&M,Buffaloes,West Texas A&M,WTAM,West Texas A&M Buffaloes,Buffaloes,000000,
teamId_2707,401545739,False,,,,,NONE,,,,,,,,,,2707,401545739,west-virginia-state-yellow-jackets,West Virginia State,Yellow Jackets,W Virginia St,WVST,West Virginia State Yellow Jackets,Yellow Jackets,000000,
teamId_2710,401540449,False,,,,,NONE,,,,,,,,,,2710,401540449,western-illinois-leathernecks,Western Illinois,Leathernecks,W Illinois,WIU,Western Illinois Leathernecks,Leathernecks,4e1e8a,ffc90a
teamId_2711,401532431,True,2199,2711,True,False,Caesars Sportsbook (New Jersey),2711,2199,3.0,WMU -3.0,48.0,-140,118,-110.0,-110.0,2711,401532431,western-michigan-broncos,Western Michigan,Broncos,W Michigan,WMU,Western Michigan Broncos,Broncos,532e1f,8b7f79
teamId_2714,401545997,False,,,,,NONE,,,,,,,,,,2714,401545997,western-colorado-mountaineers,Western Colorado,Mountaineers,West Colorado,WCOL,Western Colorado Mountaineers,Mountaineers,000000,
teamId_2717,401540613,False,,,,,NONE,,,,,,,,,,2717,401540613,western-carolina-catamounts,Western Carolina,Catamounts,W Carolina,WCU,Western Carolina Catamounts,Catamounts,492F91,bf9e70
teamId_2721,401544093,False,,,,,NONE,,,,,,,,,,2721,401544093,whitworth-pirates,Whitworth,Pirates,Whitworth,WHIT,Whitworth Pirates,Pirates,930036,000000
teamId_2723,401550427,False,,,,,NONE,,,,,,,,,,2723,401550427,wisconsin-river-falls-falcons,Wisconsin-River Falls,Falcons,Wis RF,WIS,Wisconsin-River Falls Falcons,Falcons,000000,
teamId_2725,401558402,False,,,,,NONE,,,,,,,,,,2725,401558402,widener-university-pride,Widener University,Pride,Widener,WID,Widener University Pride,Pride,0056ba,fdc743
teamId_2729,401540504,False,,,,,NONE,,,,,,,,,,2729,401540504,william-mary-tribe,William & Mary,Tribe,William & Mary,W&M,William & Mary Tribe,Tribe,103217,f6b220
teamId_2731,401550299,False,,,,,NONE,,,,,,,,,,2731,401550299,williams-ephs,Williams,Ephs,Williams,WILL,Williams Ephs,Ephs,500082,ffbe0a
teamId_2733,401544995,False,,,,,NONE,,,,,,,,,,2733,401544995,wilmington-oh-fightin-quakers,Wilmington (OH),Fightin' Quakers,Wilmington OH,WILM,Wilmington (OH) Fightin' Quakers,Fightin' Quakers,000000,
teamId_2736,401540691,False,,,,,NONE,,,,,,,,,,2736,401540691,winston-salem-rams,Winston-Salem,Rams,Winston-Salem,WNSL,Winston-Salem Rams,Rams,bb0100,
teamId_2738,401549781,False,,,,,NONE,,,,,,,,,,2738,401549781,wisconsin-eau-claire-blugolds,Wisconsin-Eau Claire,Blugolds,Wis EC,WIS,Wisconsin-Eau Claire Blugolds,Blugolds,000000,
teamId_2740,401549781,False,,,,,NONE,,,,,,,,,,2740,401549781,wisconsin-la-crosse-eagles,Wisconsin-La Crosse,Eagles,Wis LC,WIS,Wisconsin-La Crosse Eagles,Eagles,000000,
teamId_2741,401550247,False,,,,,NONE,,,,,,,,,,2741,401550247,wisconsin-lutheran-warriors,Wisconsin Lutheran,Warriors,Wis Luthrn,WIS,Wisconsin Lutheran Warriors,Warriors,006241,000000
teamId_2743,401541136,False,,,,,NONE,,,,,,,,,,2743,401541136,wisconsin-stevens-point-pointers,Wisconsin-Stevens Point,Pointers,Wis Stevns,WIS,Wisconsin-Stevens Point Pointers,Pointers,000000,
